date,value
2022-01-01,163.98
2022-01-02,143.92
2022-01-03,112.18
2022-01-04,103.64
2022-01-05,122.13
2022-01-06,101.65
2022-01-07,115.96
2022-01-08,149.96
2022-01-09,153.78
2022-01-10,104.05
2022-01-11,117.23
2022-01-12,126.60
2022-01-13,100.73
2022-01-14,118.69
2022-01-15,165.71
2022-01-16,149.96
2022-01-17,106.06
2022-01-18,121.80
2022-01-19,116.35
2022-01-20,128.84
2022-01-21,105.85
2022-01-22,161.56
2022-01-23,164.49
2022-01-24,121.27
2022-01-25,118.84
2022-01-26,123.58
2022-01-27,109.57
2022-01-28,107.90
2022-01-29,146.16
2022-01-30,166.48
2022-01-31,117.90
2022-02-01,116.65
2022-02-02,116.80
2022-02-03,104.85
2022-02-04,107.19
2022-02-05,171.80
2022-02-06,172.80
2022-02-07,119.72
2022-02-08,113.74
2022-02-09,134.68
2022-02-10,134.22
2022-02-11,110.32
2022-02-12,166.90
2022-02-13,162.36
2022-02-14,130.94
2022-02-15,256.61
2022-02-16,111.96
2022-02-17,132.00
2022-02-18,123.19
2022-02-19,155.14
2022-02-20,174.49
2022-02-21,121.58
2022-02-22,138.91
2022-02-23,115.36
2022-02-24,113.68
2022-02-25,129.25
2022-02-26,156.99
2022-02-27,152.36
2022-02-28,118.09
2022-03-01,115.62
2022-03-02,119.72
2022-03-03,117.04
2022-03-04,116.17
2022-03-05,160.48
2022-03-06,162.16
2022-03-07,117.63
2022-03-08,128.23
2022-03-09,132.11
2022-03-10,124.89
2022-03-11,121.10
2022-03-12,170.95
2022-03-13,181.55
2022-03-14,115.22
2022-03-15,137.20
2022-03-16,138.87
2022-03-17,126.04
2022-03-18,132.34
2022-03-19,177.23
2022-03-20,179.00
2022-03-21,141.55
2022-03-22,128.49
2022-03-23,140.56
2022-03-24,119.25
2022-03-25,139.08
2022-03-26,184.22
2022-03-27,158.72
2022-03-28,145.77
2022-03-29,124.13
2022-03-30,126.01
2022-03-31,130.91
2022-04-01,141.55
2022-04-02,176.56
2022-04-03,187.25
2022-04-04,135.40
2022-04-05,124.21
2022-04-06,132.26
2022-04-07,138.25
2022-04-08,122.26
2022-04-09,177.94
2022-04-10,174.55
2022-04-11,135.54
2022-04-12,148.79
2022-04-13,128.86
2022-04-14,141.83
2022-04-15,140.23
2022-04-16,169.03
2022-04-17,164.63
2022-04-18,144.62
2022-04-19,135.79
2022-04-20,143.23
2022-04-21,152.35
2022-04-22,134.66
2022-04-23,187.99
2022-04-24,168.31
2022-04-25,141.88
2022-04-26,143.88
2022-04-27,140.82
2022-04-28,146.69
2022-04-29,132.55
2022-04-30,174.12
2022-05-01,189.95
2022-05-02,157.37
2022-05-03,157.65
2022-05-04,130.25
2022-05-05,143.88
2022-05-06,139.45
2022-05-07,182.84
2022-05-08,170.06
2022-05-09,131.54
2022-05-10,159.13
2022-05-11,153.29
2022-05-12,132.50
2022-05-13,135.84
2022-05-14,175.41
2022-05-15,200.46
2022-05-16,137.90
2022-05-17,151.55
2022-05-18,150.60
2022-05-19,140.97
2022-05-20,141.04
2022-05-21,199.00
2022-05-22,176.44
2022-05-23,144.93
2022-05-24,136.19
2022-05-25,139.57
2022-05-26,156.27
2022-05-27,150.98
2022-05-28,177.55
2022-05-29,205.49
2022-05-30,164.39
2022-05-31,142.83
2022-06-01,158.16
2022-06-02,160.63
2022-06-03,145.26
2022-06-04,193.72
2022-06-05,200.66
2022-06-06,139.29
2022-06-07,150.98
